City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Pressue,Date
0,blackmans bay,-43.0167,147.3167,50.74,94.0,100.0,6.89,AU,1014.0,1717378886.0
1,waitangi,-43.9535,-176.5597,50.83,89.0,58.0,20.0,NZ,1005.0,1717378887.0
2,egilsstadir,65.2653,-14.3948,42.71,49.0,75.0,9.22,IS,999.0,1717378888.0
3,margate,51.3813,1.3862,53.69,86.0,73.0,3.0,GB,1023.0,1717378889.0
4,carnarvon,-24.8667,113.6333,67.59,53.0,21.0,8.08,AU,1022.0,1717378890.0
5,betio village,1.358,172.9211,89.64,73.0,72.0,8.55,KI,1009.0,1717378891.0
6,oranjemund,-28.55,16.4333,51.64,86.0,36.0,11.63,NA,1017.0,1717378892.0
7,grytviken,-54.2811,-36.5092,28.11,95.0,100.0,8.43,GS,996.0,1717378893.0
8,west island,-12.1568,96.8225,80.58,89.0,75.0,11.5,CC,1013.0,1717378894.0
9,bethel,41.3712,-73.414,71.76,67.0,0.0,1.01,US,1013.0,1717378896.0
10,port-aux-francais,-49.35,70.2167,32.72,69.0,100.0,41.65,TF,988.0,1717378897.0
11,invercargill,-46.4,168.35,53.02,79.0,7.0,17.0,NZ,1028.0,1717378898.0
12,georgetown,5.4112,100.3354,82.35,78.0,40.0,3.44,MY,1012.0,1717378861.0
13,puerto natales,-51.7236,-72.4875,28.17,91.0,72.0,3.69,CL,1023.0,1717378775.0
14,adamstown,-25.066,-130.1015,71.89,80.0,34.0,9.64,PN,1014.0,1717378878.0
15,victorica,-36.2151,-65.4359,41.74,67.0,99.0,9.93,AR,1032.0,1717378902.0
16,yellowknife,62.456,-114.3525,56.41,65.0,20.0,8.05,CA,1008.0,1717378903.0
17,lihue,21.9789,-159.3672,83.44,71.0,0.0,18.41,US,1020.0,1717378904.0
18,sabha,27.0377,14.4283,83.86,33.0,96.0,9.46,LY,1010.0,1717378905.0
19,mar del plata,-38.0023,-57.5575,47.95,86.0,75.0,10.0,AR,1022.0,1717378906.0
20,guerrero negro,27.9769,-114.0611,61.93,83.0,7.0,21.21,MX,1013.0,1717378907.0
21,bismarck,46.8083,-100.7837,75.04,46.0,0.0,11.5,US,1004.0,1717378576.0
22,mount pearl,47.5166,-52.7813,49.32,98.0,100.0,12.66,CA,1016.0,1717378910.0
23,mata-utu,-13.2816,-176.1745,82.47,72.0,44.0,26.42,WF,1010.0,1717378911.0
24,tolanaro,-25.0319,46.9987,60.87,94.0,0.0,0.0,MG,1017.0,1717378912.0
25,chipping ongar,51.7038,0.2455,56.77,88.0,59.0,1.99,GB,1037.0,1717378913.0
26,san patricio,28.017,-97.5169,85.95,81.0,100.0,17.6,US,1009.0,1717378914.0
27,igarka,67.4667,86.5833,33.03,82.0,90.0,4.0,RU,1007.0,1717378915.0
28,puerto ayora,-0.7393,-90.3518,72.55,96.0,4.0,5.66,EC,1011.0,1717378916.0
29,tete,-16.1564,33.5867,67.03,58.0,0.0,2.26,MZ,1014.0,1717378917.0
30,iqaluit,63.7506,-68.5145,31.73,86.0,100.0,9.22,CA,1024.0,1717378636.0
31,letterkenny,54.95,-7.7333,53.35,92.0,100.0,7.54,IE,1025.0,1717378919.0
